commit,wasted
a27a15f94bc26fdc62d6faee591dfbd81838acfc,2
51d41c5161fe61ad28cd0db98632633967832823,13
076198fe803faa357619c969ab452da85bcb1ec5,2
e4bfcbf80a64d8d9f24d001fc9bb78c2c8977dcf,12
0375cbcbc0bbd2224a68f37c5ab68b380c51467f,43
e45546edf0445d5ca714162bff89c0780d087993,4
325a39b8bad2fb35c2a0d9bcb0da357a79bfb99a,6
86a6de209ef6d5beeb19661bd48ff4f5c87e9b4a,21
f2ea73f360f30c3aad306bfc53bc8c7041088729,2
e03093e96c1df53b613440b63b561e4ff7361e44,3
50d51bab7faa5ce52e9f345eee3d49886433289f,1
b2549bb6c4e512f3fcad9c450908616a1a8d1b5b,270
62690887c163332688add2b1e62bb4c12b2e7df4,1
ac162e8f72d46280d8501dc670e3d823d0c8fdf9,2
93dc2295f7dc7dc6436be0e524701ccf08566fb9,2
7ace7bc09087b6bfa817047640ba15df997b4a91,2
7c4fd5e77078b523ae368f42c7d43c9d76acaf50,2
faf2f34772fe06396a7b8542b00f0566832bc7ef,36
6e774ea6eb6d719b98f924ab5bd0629d92fb27d0,1
8c81d9ab28132cff1d792b5c99e98bea6f7870bd,4
f56032b9201ef3227629439552a070ce255facf7,5
f3ca48206e02d48fc8e9f7d340d25e2210d00723,4
42d45ad120d8d71c942c58275a50b146749dd4b4,3
51b09f9b54b99e19285c95eab8b74acc4a56a88c,17
2544c085214f368ec0a189bd8aefd7d83f75563b,88
0f597d389052500d9b76b9f9f89e873e6f809ab1,6
9eb0effaf674da0f24eb5e0ae8e290c9648598de,3
af94ffb46d42289e5dbf770ce6a174ec52481d53,3
25a10b4f0a47085f7a34a5a08717c3d36039a3d6,12
e8272dcf1a316549cdbc98a16c181c02743041c4,6
4a77cbdbb2fc1a4f163171356a7f5340e1237317,4
12a49dc0be8a8acd12440dd7191b349ca17de7c8,1
ba40ca84473709cb419f1812b66caeed01f9d440,1
05a26a29967b4cb70cac0055d0a177881e047efd,2
4221b354cfc05e4857ba4c1a160298965e243330,6
05deb3dcc8be9a0a623536467628aa68ae754918,1
106f1377d20b29fd4568423525554e493e1eebd7,2
ed731c80d710cbb1433c4c83f0630f8c221985e1,28
226ccf7e7278b1a0e6cd8e4fdcadf77b94003686,7149
29901b187bb93837ebd2f9a641c7bf1866566a95,10
7945c174a6f90f3809a6d60f392a94e0ce10f021,3
c11d398010f1c26622c64e076786a00776096b94,2
6a52ec94840fbaf43a29d76879e2b59542a9963d,1
cca33c2027bf338f9c6281a870b86ad907963a51,2
4487b1c29a30a4056050dd53eee659a84dfd4c46,174
6a8bc8528498c0cbb2e50567d765a989cde2d115,6
186c1d14d5b5fd8e9fcd5147d47ebe998dfe45cd,2
9624148f1802b88ce74ff3e6eaa783f357b2be76,1
78792cced2c4f1702a0bc2039bdebf07f8bcd901,4
e580250d5d99060b0ee8d88e3ff66b6d9ec24050,1
26dac9854633ea765430021ef99edb431bdf24b7,7
e0e734fa7feb16375c0809b7b0a3697f654a2ebd,2
106361443d58f57ac140e4b4033b60e98fdaad2b,1
52c2049f2a47c814888e98c509eac83dc071e829,1
44c4bb00c1cb8645ee2fc303848a5136108e594f,4
72645923972aab03e589510b252abcff13ec5b9b,8
acbca7b3aaf18866f7a1a79d9684149897bf4305,6
affc110fa0aac70d2e676d75bd5e54875ad8d941,1
eb80e8f20af2341e077b04d810443b51159c718d,4
281c5215efe56e916b68a81208ae9a3b15ee15cb,8
c9442346d3b454d9cbfcbd76d887e4f22f942531,1
426bd83a0d90e3beea37f64928b1c90c71801b0e,51
0bc4ae6f36e784bf4d239e30d06ec9a8ead36209,6
0ff6a45709a3e46d9f2c5a3f4403fc95d08264e5,2
eaada181b19cde4ca2957ed3adb9d69d248dd292,4
df8919f0a754d6b44811bf2ac2710d82f7a3217c,3
b89ace8cf3948c432d5fe4ed7eb1dd0b57e1049d,6
799d0de0c09420a9657a6a7b5fb814374da31163,3
3b2a1a3c47b4d10b25c6ac5546e027185907b7fa,2
c6e15f8ef244a0f3859489ca7f1c7bcc80181468,4
ca3d120f4abaa40c9377ac450420372fd00cf668,2
d4df55b417d1d77c76eec185982c3badb7b398cc,8
a3821bf24094bf5bb2a9553e66b69da3b6430aa5,1
0de09b936e5e37c15b7865157a98ad78b1077659,1
a6f0159cb85e3b84a826c41ae5ad1b6aea09d7cc,2
05212b702dbafacd3d1d44e600139af8d7516308,6
bf4fc6f388676cdc31cebc742a52e9d8896575f5,2
c97c0a9f94208828c617cbd99efd8e3e410c69ee,1
10127d6b5a71ee8927413ab746300e32a54b079d,1
