commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
050ea0fa8dc51d1e722f8e88b7ce9a792474082f,37,1,38,0,0,0,2,13,1,1,13,0,0,0,0,0,0,0,0,13,1,1,13,35,1,0,36,2,0,0,2,37,1,0,38,3,1,4,1,1,0,2,1,1,0,2,1975483,1458524,1824797,-306377,366273,workspace,172,21,154,18,145,3,9,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
284279f61e493bf70a8375eb772d293b9fb5d6bf,3,2,5,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,4,0,1,0,1,3,2,0,5,2,1,3,2,1,1,2,2,1,1,2,1906059,1370875,1479410,0,196278,workspace,414,62,299,53,215,9,84,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
f3ab4bc2b99e9f7f3917708a9110d6500aa051a0,29,4,33,0,0,0,6,6,1,0,7,0,0,0,0,0,0,0,0,6,1,0,7,16,4,0,20,13,0,0,13,29,4,0,33,5,1,6,3,1,0,4,3,1,0,4,4111523,1515950,3889870,-1386373,2373920,workspace,421,19,303,14,216,5,87,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
cbbadf94c8772337a6489a2d0f636030e2a13d00,34,4,38,0,0,0,10,7,1,1,7,0,0,0,0,0,0,0,0,7,1,1,7,21,4,0,25,13,0,0,13,34,4,0,38,8,1,9,4,1,0,5,4,1,0,5,4112267,63410,4111582,-2838913,4048172,workspace,424,24,305,17,217,7,88,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
5d0aaa0b395c069b76b71a06c60a5292e94c1ef8,20,14,34,0,0,0,11,10,2,2,10,0,0,0,0,0,0,0,0,10,2,2,10,11,8,0,19,9,6,0,15,20,12,0,32,5,1,6,2,1,0,3,2,1,0,3,440092,298921,349444,-7686,50523,workspace,328,147,255,114,203,33,52,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
69ccb949168d1f1a37c3a9213daf806a344226a6,14,77,91,0,0,0,13,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,8,56,0,64,6,21,0,27,12,75,0,87,2,1,3,2,1,0,3,2,1,0,3,135193,61498,90648,0,141171,workspace,330,152,256,118,203,34,53,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
06fe6706f1b0655185248cc0c1ee3d2e187ec07d,124,35,157,2,0,0,15,3,1,1,3,0,0,0,0,0,0,0,0,3,1,1,3,82,12,0,94,42,23,2,63,118,35,2,151,7,2,9,3,1,1,3,3,1,1,3,148120,136070,143203,73010,193726,workspace,336,155,258,119,203,36,55,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
88099bb59a1b0d8bbb8c20e440f25f905974e8b7,13,10,23,0,0,0,16,5,1,0,6,0,0,0,0,0,0,0,0,5,1,0,6,5,5,0,10,8,5,0,13,13,10,0,23,3,1,4,1,1,0,2,1,1,0,2,82918,19032,48535,-28196,29503,workspace,6434,141,3969,111,3640,30,329,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
3f095ad40bf3e4b73f140bafe5c7fccda4c26d7c,2360,26,2385,1,0,0,18,135,1,1,135,12,0,0,12,0,0,0,0,147,1,1,147,1814,14,1,1827,546,12,0,558,2349,26,1,2374,80,1,81,4,1,1,4,4,1,1,4,947867,502440,946030,0,901369,workspace,6582,129,4095,108,3751,21,344,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e42f3465164e7d4776c771cc36b1cc1ebfec3651,2,59,61,0,0,0,19,1,2,0,3,0,0,0,0,0,0,0,0,1,2,0,3,1,42,0,43,1,17,0,18,2,59,0,61,1,2,3,1,1,1,1,1,1,1,1,25748,17956,25653,-542,7697,branch,2193,186,524,181,507,5,17,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
