commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
8b09d954f995f5b054e0cb9334f69369fc567338,129,33,162,0,0,0,4,5,1,0,6,0,0,0,0,0,0,0,0,5,1,0,6,103,25,0,128,26,8,0,34,129,33,0,162,7,1,8,2,1,0,3,2,1,0,3,159110,140827,155112,0,220420,workspace,5439,159,3287,107,3076,52,211,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
fd9ec835ec1447fb6040ee63a1fa8ee13b19d555,15,19,34,0,0,0,5,3,3,0,6,0,0,0,0,0,0,0,0,3,3,0,6,14,14,0,28,1,5,0,6,15,19,0,34,2,2,4,2,1,0,3,2,1,0,3,323700,321256,323008,-1732,4304,workspace,6975,0,4415,0,4032,0,383,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
717e16660d1ee83f690b35d0aa9b60c8ac9d6b61,655,22161,22814,1,2,0,6,5,128,5,128,5,65,0,70,0,79,0,79,10,272,5,277,653,12254,0,12907,2,9906,1,9907,655,22088,1,22742,33,870,903,2,32,0,34,2,31,0,33,30407056,30329946,30333730,30183414,30296218,branch,4969,3,13,2,12,1,1,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
9bd1da122a72a9f3f3b5800a19542327353e897f,337,46,383,0,0,0,7,42,8,0,50,0,0,0,0,1,0,0,1,43,8,0,51,204,24,0,228,133,19,0,152,336,42,0,378,16,2,18,3,1,0,4,4,1,0,5,187242,165549,182476,88059,155984,workspace,7388,0,4644,0,4220,0,424,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
2b039acb4ec6af8792c4e212822d3fe359633d16,1225,67,1285,2,11,7,8,21,1,1,21,9,1,0,10,0,0,0,0,30,2,1,31,1050,67,1,1116,175,0,0,175,1218,67,1,1284,36,1,37,6,1,0,7,1,1,0,2,1102941,66711,1041960,-32719,975249,branch,9196,0,5990,0,5443,0,547,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
ece215ed7dc2e0a9d9b068fa309c4822cd73f655,468,8,476,0,0,0,10,39,2,2,39,5,0,0,5,1,0,0,1,45,2,2,45,289,4,0,293,179,4,0,183,463,8,0,471,52,1,53,5,1,1,5,5,1,0,6,3310544,71052,3310497,0,3300888,workspace,6951,13,4403,9,4025,4,378,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e62fbc1c3cad8ce504ccf0538ad9f065d46e223b,207,173,380,0,0,0,11,11,4,1,14,1,2,0,3,1,0,0,1,13,6,1,18,97,150,0,247,110,23,0,133,207,170,0,377,4,1,5,1,1,0,2,1,1,0,2,125286,66537,88248,-20201,21711,workspace,8743,226,5689,223,5153,3,536,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b1d08a8aa824dee1ebf8f1db6b780516c22f0c4b,22,163,185,0,0,0,12,2,7,0,9,0,0,0,0,0,0,0,0,2,7,0,9,13,95,0,108,9,68,0,77,22,162,0,184,1,1,2,1,1,1,1,1,1,1,1,184895,77058,180482,-103424,103424,branch,4181,85,2422,81,2353,4,69,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
8b60d430f2095c42daf26f2921359d5c49f0757d,38,10,48,0,0,0,17,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,14,4,0,18,24,6,0,30,38,10,0,48,3,1,4,1,1,0,2,1,1,0,2,14172,9134,13983,-1742,4849,workspace,5521,23,3335,15,3115,8,220,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e883ef4eb9a56f2319fb90e405d0612249af5924,677,36,713,0,0,0,20,16,3,2,17,2,0,0,2,0,0,0,0,18,3,2,19,408,31,0,439,269,5,0,274,563,36,0,599,18,2,20,3,1,1,3,3,1,1,3,73139,71935,73095,0,39345,workspace,5317,161,3208,114,3012,47,196,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b97f1136cd089c17123a264a8b3e0fcf657fc5fc,6,131,137,0,0,0,22,2,3,0,5,0,0,0,0,0,0,0,0,2,3,0,5,4,74,0,78,2,57,0,59,6,131,0,137,2,4,6,1,2,1,2,1,2,1,2,349774,6262,345265,-330416,339070,branch,4286,95,2523,88,2448,7,75,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e656658af8b833c589f4dda90dac3d09d73cd81f,129,52,181,0,0,0,23,11,3,0,14,0,0,0,0,0,0,0,0,11,3,0,14,85,51,0,136,44,1,0,45,129,52,0,181,11,1,12,2,1,0,3,2,1,0,3,991901,315254,917372,0,743859,workspace,4776,101,2917,86,2797,15,120,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
2f0975bb5de0600f5297a5f5bd563cc135e6c634,67,4,71,0,0,0,24,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,28,2,0,30,39,2,0,41,65,4,0,69,1,1,2,1,1,0,2,1,1,0,2,686604,181561,410903,-229342,229342,workspace,2397,44,723,41,701,3,22,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
577eb2b1ae16fe505d6033202bc08b46ee6644e8,14,2,16,0,0,0,31,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,5,1,0,6,9,1,0,10,14,2,0,16,1,1,2,1,1,0,2,1,1,0,2,315160,69859,314927,-245068,245068,workspace,4812,48,2951,44,2829,4,122,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
d0f6b8eaf8c66927a13834ae549413aea28f4200,15,2,17,0,0,0,32,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3,11,2,0,13,4,0,0,4,15,2,0,17,2,1,3,1,1,0,2,1,1,0,2,20947,10952,17070,-6118,15898,workspace,4163,84,2404,80,2336,4,68,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
2b364b34bb85300b30ae25183528c86a64525a85,16,31,47,0,0,0,33,2,2,0,4,0,0,0,0,0,0,0,0,2,2,0,4,6,19,0,25,10,12,0,22,16,31,0,47,3,1,4,2,1,0,3,2,1,0,3,316464,309395,315160,-5532,5765,workspace,4814,49,2952,44,2829,5,123,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
716ad5fd8aa3be2cfe46ab3d06fc1c9aee1f27f0,332,125,457,0,0,0,34,9,2,0,11,3,0,0,3,0,0,0,0,12,2,0,14,309,95,0,404,23,30,0,53,331,121,0,452,14,10,24,3,1,0,4,2,1,0,3,118441,42710,112869,15460,109128,workspace,5399,189,3265,138,3062,51,203,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
626cefeac35afdf00fb85c01ed66f485f47b53a0,2,31,33,0,0,0,35,1,3,0,4,0,0,0,0,0,0,0,0,1,3,0,4,1,28,0,29,1,3,0,4,2,31,0,33,2,1,3,2,1,1,2,2,1,1,2,26454,23433,26322,-996,2889,workspace,5595,26,3376,20,3142,6,234,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
